DATES,Carpenters,Butterfield,Delaney
1/1/33,0,0,0
1/2/33,0,0,0
1/3/33,0,0,0
1/4/33,0,0,0
1/5/33,0,0,0
1/6/33,0,0,0
1/7/33,0,0,0
1/8/33,0,0,0
1/9/33,0,0,0
1/10/33,0,0,0
1/11/33,0,0,0
1/12/33,0,0,0
1/13/33,0,0,0
1/14/33,0,0,0
1/15/33,0,0,0
1/16/33,0,0,0
1/17/33,0,0,0
1/18/33,0,0,0
1/19/33,0,0,0
1/20/33,0,0,0
1/21/33,0,0,0
1/22/33,0,0,0
1/23/33,0,0,0
1/24/33,0,0,0
1/25/33,0,0,0
1/26/33,0,0,0
1/27/33,0,0,0
1/28/33,0,0,0
1/29/33,0,0,0
1/30/33,0,0,0
1/31/33,0,0,0
2/1/33,0,0,0
2/2/33,0,0,0
2/3/33,0,0,0
2/4/33,0,0,0
2/5/33,0,0,0
2/6/33,0,0,0
2/7/33,0,0,0
2/8/33,0,0,0
2/9/33,0,0,0
2/10/33,0,0,0
2/11/33,0,0,0
2/12/33,0,0,0
2/13/33,0,0,0
2/14/33,0,0,0
2/15/33,0,0,0
2/16/33,0,0,0
2/17/33,0,0,0
2/18/33,0,0,0
2/19/33,0,0,0
2/20/33,0,0,0
2/21/33,0,0,0
2/22/33,0,0,0
2/23/33,0,0,0
2/24/33,0,0,0
2/25/33,0,0,0
2/26/33,0,0,0
2/27/33,0,0,0
2/28/33,0,0,0
3/1/33,0,0,0
3/2/33,0,0,0
3/3/33,0,0,0
3/4/33,0,0,0
3/5/33,0,0,0
3/6/33,0,0,0
3/7/33,0,0,0
3/8/33,0,0,0
3/9/33,0,0,0
3/10/33,0,0,0
3/11/33,0,0,0
3/12/33,0,0,0
3/13/33,0,0,0
3/14/33,0,0,0
3/15/33,0,0,0
3/16/33,0,0,0
3/17/33,0,0,0
3/18/33,0,0,0
3/19/33,0,0,0
3/20/33,0,0,0
3/21/33,0,0,0
3/22/33,0,0,0
3/23/33,0,0,0
3/24/33,0,0,0
3/25/33,0,0,0
3/26/33,0,0,0
3/27/33,0,0,0
3/28/33,0,0,0
3/29/33,0,0,0
3/30/33,0,0,0
3/31/33,0,0,0
4/1/33,0,0,0
4/2/33,0,0,0
4/3/33,0,0,0
4/4/33,0,0,0
4/5/33,0,0,0
4/6/33,0,0,0
4/7/33,0,0,0
4/8/33,0,0,0
4/9/33,0,0,0
4/10/33,0,0,0
4/11/33,0,0,0
4/12/33,0,0,0
4/13/33,0,0,0
4/14/33,0,0,0
4/15/33,0,0,0
4/16/33,0,0,0
4/17/33,0,0,0
4/18/33,0,0,0
4/19/33,0,0,0
4/20/33,0,0,0
4/21/33,0,0,0
4/22/33,0,0,0
4/23/33,0,0,0
4/24/33,0,0,0
4/25/33,0,0,0
4/26/33,0,0,0
4/27/33,0,0,0
4/28/33,0,0,0
4/29/33,0,0,0
4/30/33,0,0,0
5/1/33,0,0,0
5/2/33,0,0,0
5/3/33,0,0,0
5/4/33,0,0,0
5/5/33,0,0,0
5/6/33,0,0,0
5/7/33,0,0,0
5/8/33,0,0,0
5/9/33,0,0,0
5/10/33,0,0,0
5/11/33,0,0,0
5/12/33,0,0,0
5/13/33,0,0,0
5/14/33,0,0,0
5/15/33,0,0,0
5/16/33,0,0,0
5/17/33,0,0,0
5/18/33,0,0,0
5/19/33,0,0,0
5/20/33,0,0,0
5/21/33,0,0,0
5/22/33,0,0,0
5/23/33,0,0,0
5/24/33,0,0,0
5/25/33,0,0,0
5/26/33,0,0,0
5/27/33,0,0,0
5/28/33,0,0,0
5/29/33,0,0,0
