DATES,Carpenters,Butterfield,Delaney
1933-01-01,0,0,0
1933-01-02,0,0,0
1933-01-03,0,0,0
1933-01-04,0,0,0
1933-01-05,0,0,0
1933-01-06,0,0,0
1933-01-07,0,0,0
1933-01-08,0,0,0
1933-01-09,0,0,0
1933-01-10,0,0,0
1933-01-11,0,0,0
1933-01-12,0,0,0
1933-01-13,0,0,0
1933-01-14,0,0,0
1933-01-15,0,0,0
1933-01-16,0,0,0
1933-01-17,0,0,0
1933-01-18,0,0,0
1933-01-19,0,0,0
1933-01-20,0,0,0
1933-01-21,0,0,0
1933-01-22,0,0,0
1933-01-23,0,0,0
1933-01-24,0,0,0
1933-01-25,0,0,0
1933-01-26,0,0,0
1933-01-27,0,0,0
1933-01-28,0,0,0
1933-01-29,0,0,0
1933-01-30,0,0,0
1933-01-31,0,0,0
1933-02-01,0,0,0
1933-02-02,0,0,0
1933-02-03,0,0,0
1933-02-04,0,0,0
1933-02-05,0,0,0
1933-02-06,0,0,0
1933-02-07,0,0,0
1933-02-08,0,0,0
1933-02-09,0,0,0
1933-02-10,0,0,0
1933-02-11,0,0,0
1933-02-12,0,0,0
1933-02-13,0,0,0
1933-02-14,0,0,0
1933-02-15,0,0,0
1933-02-16,0,0,0
1933-02-17,0,0,0
1933-02-18,0,0,0
1933-02-19,0,0,0
1933-02-20,0,0,0
1933-02-21,0,0,0
1933-02-22,0,0,0
1933-02-23,0,0,0
1933-02-24,0,0,0
1933-02-25,0,0,0
1933-02-26,0,0,0
1933-02-27,0,0,0
1933-02-28,0,0,0
1933-03-01,0,0,0
1933-03-02,0,0,0
1933-03-03,0,0,0
1933-03-04,0,0,0
1933-03-05,0,0,0
1933-03-06,0,0,0
1933-03-07,0,0,0
1933-03-08,0,0,0
1933-03-09,0,0,0
1933-03-10,0,0,0
1933-03-11,0,0,0
1933-03-12,0,0,0
1933-03-13,0,0,0
1933-03-14,0,0,0
1933-03-15,0,0,0
1933-03-16,0,0,0
1933-03-17,0,0,0
1933-03-18,0,0,0
1933-03-19,0,0,0
1933-03-20,0,0,0
1933-03-21,0,0,0
1933-03-22,0,0,0
1933-03-23,0,0,0
1933-03-24,0,0,0
1933-03-25,0,0,0
1933-03-26,0,0,0
1933-03-27,0,0,0
1933-03-28,0,0,0
1933-03-29,0,0,0
1933-03-30,0,0,0
1933-03-31,0,0,0
1933-04-01,0,0,0
1933-04-02,0,0,0
1933-04-03,0,0,0
1933-04-04,0,0,0
1933-04-05,0,0,0
1933-04-06,0,0,0
1933-04-07,0,0,0
1933-04-08,0,0,0
1933-04-09,0,0,0
1933-04-10,0,0,0
1933-04-11,0,0,0
1933-04-12,0,0,0
1933-04-13,0,0,0
1933-04-14,0,0,0
1933-04-15,0,0,0
1933-04-16,0,0,0
