DATES,Carpenters,Butterfield,Delaney
1943-01-01,0,0,0
1943-01-02,0,0,0
1943-01-03,0,0,0
1943-01-04,0,0,0
1943-01-05,0,0,0
1943-01-06,0,0,0
1943-01-07,0,0,0
1943-01-08,0,0,0
1943-01-09,0,0,0
1943-01-10,0,0,0
1943-01-11,0,0,0
1943-01-12,0,0,0
1943-01-13,0,0,0
1943-01-14,0,0,0
1943-01-15,0,0,0
1943-01-16,0,0,0
1943-01-17,0,0,0
1943-01-18,0,0,0
1943-01-19,0,0,0
1943-01-20,0,0,0
1943-01-21,0,0,0
1943-01-22,0,0,0
1943-01-23,0,0,0
1943-01-24,0,0,0
1943-01-25,0,0,0
1943-01-26,0,0,0
1943-01-27,0,0,0
1943-01-28,0,0,0
1943-01-29,0,0,0
1943-01-30,0,0,0
1943-01-31,0,0,0
1943-02-01,0,0,0
1943-02-02,0,0,0
1943-02-03,0,0,0
1943-02-04,0,0,0
1943-02-05,0,0,0
1943-02-06,0,0,0
1943-02-07,0,0,0
1943-02-08,0,0,0
1943-02-09,0,0,0
1943-02-10,0,0,0
1943-02-11,0,0,0
1943-02-12,0,0,0
1943-02-13,0,0,0
1943-02-14,0,0,0
1943-02-15,0,0,0
1943-02-16,0,0,0
1943-02-17,0,0,0
1943-02-18,0,0,0
1943-02-19,0,0,0
1943-02-20,0,0,0
1943-02-21,0,0,0
1943-02-22,0,0,0
1943-02-23,0,0,0
1943-02-24,0,0,0
1943-02-25,0,0,0
1943-02-26,0,0,0
1943-02-27,0,0,0
1943-02-28,0,0,0
1943-03-01,0,0,0
1943-03-02,0,0,0
1943-03-03,0,0,0
1943-03-04,0,0,0
1943-03-05,0,0,0
1943-03-06,0,0,0
1943-03-07,0,0,0
1943-03-08,0,0,0
1943-03-09,0,0,0
1943-03-10,0,0,0
1943-03-11,0,0,0
1943-03-12,0,0,0
1943-03-13,0,0,0
1943-03-14,0,0,0
1943-03-15,0,0,0
1943-03-16,0,0,0
1943-03-17,0,0,0
1943-03-18,0,0,0
1943-03-19,0,0,0
1943-03-20,0,0,0
1943-03-21,0,0,0
1943-03-22,0,0,0
1943-03-23,0,0,0
1943-03-24,0,0,0
1943-03-25,0,0,0
1943-03-26,0,0,0
1943-03-27,0,0,0
1943-03-28,0,0,0
1943-03-29,0,0,0
1943-03-30,0,0,0
1943-03-31,0,0,0
1943-04-01,0,0,0
1943-04-02,0,0,0
1943-04-03,0,0,0
1943-04-04,0,0,0
1943-04-05,0,0,0
1943-04-06,0,0,0
1943-04-07,0,0,0
1943-04-08,0,0,0
1943-04-09,0,0,0
1943-04-10,0,0,0
1943-04-11,0,0,0
1943-04-12,0,0,0
1943-04-13,0,0,0
1943-04-14,0,0,0
1943-04-15,0,0,0
1943-04-16,0,0,0
1943-04-17,0,0,0
1943-04-18,0,0,0
1943-04-19,0,0,0
1943-04-20,0,0,0
1943-04-21,0,0,0
1943-04-22,0,0,0
1943-04-23,0,0,0
1943-04-24,0,0,0
1943-04-25,0,0,0
1943-04-26,0,0,0
1943-04-27,0,0,0
1943-04-28,0,0,0
1943-04-29,0,0,0
1943-04-30,0,0,0
1943-05-01,0,0,0
1943-05-02,0,0,0
1943-05-03,0,0,0
1943-05-04,0,0,0
1943-05-05,0,0,0
1943-05-06,0,0,0
1943-05-07,0,0,0
1943-05-08,0,0,0
1943-05-09,0,0,0
1943-05-10,0,0,0
1943-05-11,0,0,0
1943-05-12,0,0,0
1943-05-13,0,0,0
1943-05-14,0,0,0
1943-05-15,0,0,0
1943-05-16,0,0,0
1943-05-17,0,0,0
1943-05-18,0,0,0
1943-05-19,0,0,0
1943-05-20,0,0,0
1943-05-21,0,0,0
1943-05-22,0,0,0
1943-05-23,0,0,0
1943-05-24,0,0,0
1943-05-25,0,0,0
1943-05-26,0,0,0
1943-05-27,0,0,0
1943-05-28,0,0,0
1943-05-29,0,0,0
1943-05-30,0,0,0
1943-05-31,0,0,0
1943-06-01,-11.43,-11.43,-11.43
1943-06-02,0,0,0
1943-06-03,0,0,0
1943-06-04,0,0,0
1943-06-05,0,0,0
1943-06-06,0,0,0
1943-06-07,0,0,0
1943-06-08,0,0,0
1943-06-09,0,0,0
1943-06-10,0,0,0
1943-06-11,0,0,0
1943-06-12,0,0,0
1943-06-13,0,0,0
1943-06-14,0,0,0
1943-06-15,-11.43,-11.43,-11.43
1943-06-16,0,0,0
1943-06-17,0,0,0
1943-06-18,0,0,0
1943-06-19,0,0,0
1943-06-20,0,0,0
1943-06-21,0,0,0
1943-06-22,0,0,0
1943-06-23,0,0,0
1943-06-24,0,0,0
1943-06-25,0,0,0
1943-06-26,0,0,0
1943-06-27,0,0,0
1943-06-28,0,0,0
1943-06-29,0,0,0
1943-06-30,-11.43,-11.43,-11.43
1943-07-01,0,0,0
1943-07-02,0,0,0
1943-07-03,0,0,0
1943-07-04,0,0,0
1943-07-05,0,0,0
1943-07-06,0,0,0
1943-07-07,0,0,0
1943-07-08,0,0,0
1943-07-09,0,0,0
1943-07-10,0,0,0
1943-07-11,0,0,0
1943-07-12,0,0,0
1943-07-13,0,0,0
1943-07-14,0,0,0
1943-07-15,0,0,0
1943-07-16,0,0,0
1943-07-17,0,0,0
1943-07-18,0,0,0
1943-07-19,0,0,0
1943-07-20,0,0,0
1943-07-21,0,0,0
1943-07-22,0,0,0
1943-07-23,0,0,0
1943-07-24,0,0,0
1943-07-25,0,0,0
1943-07-26,0,0,0
1943-07-27,0,0,0
1943-07-28,0,0,0
1943-07-29,0,0,0
1943-07-30,0,0,0
1943-07-31,0,0,0
1943-08-01,0,0,0
1943-08-02,0,0,0
1943-08-03,0,0,0
1943-08-04,0,0,0
1943-08-05,0,0,0
1943-08-06,0,0,0
1943-08-07,0,0,0
1943-08-08,0,0,0
1943-08-09,0,0,0
1943-08-10,0,0,0
1943-08-11,0,0,0
1943-08-12,0,0,0
1943-08-13,0,0,0
1943-08-14,0,0,0
1943-08-15,0,0,0
1943-08-16,0,0,0
1943-08-17,0,0,0
1943-08-18,0,0,0
1943-08-19,0,0,0
1943-08-20,0,0,0
1943-08-21,0,0,0
1943-08-22,0,0,0
1943-08-23,0,0,0
1943-08-24,0,0,0
1943-08-25,0,0,0
1943-08-26,0,0,0
1943-08-27,0,0,0
1943-08-28,0,0,0
1943-08-29,0,0,0
1943-08-30,0,0,0
1943-08-31,0,0,0
1943-09-01,0,0,0
1943-09-02,0,0,0
1943-09-03,0,0,0
1943-09-04,0,0,0
1943-09-05,0,0,0
1943-09-06,0,0,0
1943-09-07,0,0,0
1943-09-08,0,0,0
1943-09-09,0,0,0
1943-09-10,0,0,0
1943-09-11,0,0,0
1943-09-12,0,0,0
1943-09-13,0,0,0
1943-09-14,0,0,0
1943-09-15,34.29,34.29,34.29
1943-09-16,0,0,0
1943-09-17,0,0,0
1943-09-18,0,0,0
1943-09-19,0,0,0
1943-09-20,0,0,0
1943-09-21,0,0,0
1943-09-22,0,0,0
1943-09-23,0,0,0
1943-09-24,0,0,0
1943-09-25,0,0,0
1943-09-26,0,0,0
1943-09-27,0,0,0
1943-09-28,0,0,0
1943-09-29,0,0,0
1943-09-30,0,0,0
1943-10-01,0,0,0
1943-10-02,0,0,0
1943-10-03,0,0,0
1943-10-04,0,0,0
1943-10-05,0,0,0
1943-10-06,0,0,0
1943-10-07,0,0,0
1943-10-08,0,0,0
1943-10-09,0,0,0
1943-10-10,0,0,0
1943-10-11,0,0,0
1943-10-12,0,0,0
1943-10-13,0,0,0
1943-10-14,0,0,0
1943-10-15,0,0,0
1943-10-16,0,0,0
1943-10-17,0,0,0
1943-10-18,0,0,0
1943-10-19,0,0,0
1943-10-20,0,0,0
1943-10-21,0,0,0
1943-10-22,0,0,0
1943-10-23,0,0,0
1943-10-24,0,0,0
1943-10-25,0,0,0
1943-10-26,0,0,0
1943-10-27,0,0,0
1943-10-28,0,0,0
1943-10-29,0,0,0
1943-10-30,0,0,0
1943-10-31,0,0,0
1943-11-01,0,0,0
1943-11-02,0,0,0
1943-11-03,0,0,0
1943-11-04,0,0,0
1943-11-05,0,0,0
1943-11-06,0,0,0
1943-11-07,0,0,0
1943-11-08,0,0,0
1943-11-09,0,0,0
1943-11-10,0,0,0
1943-11-11,0,0,0
1943-11-12,0,0,0
1943-11-13,0,0,0
1943-11-14,0,0,0
1943-11-15,0,0,0
1943-11-16,0,0,0
1943-11-17,0,0,0
1943-11-18,0,0,0
1943-11-19,0,0,0
1943-11-20,0,0,0
1943-11-21,0,0,0
1943-11-22,0,0,0
1943-11-23,0,0,0
1943-11-24,0,0,0
1943-11-25,0,0,0
1943-11-26,0,0,0
